patch,freq_start,freq_end,time_start,time_end,base_confidence,masked_confidence,confidence_drop
2,16,24,60,72,0.5406293869018555,0.5406293869018555,0.0
2,16,24,72,84,0.5406293869018555,0.5406293869018555,0.0
2,16,24,84,96,0.5406293869018555,0.5406293869018555,0.0
2,24,32,0,12,0.5406293869018555,0.5406293869018555,0.0
2,24,32,12,24,0.5406293869018555,0.5406293869018555,0.0
2,24,32,24,36,0.5406293869018555,0.5406293869018555,0.0
2,24,32,36,48,0.5406293869018555,0.5406293869018555,0.0
2,24,32,48,60,0.5406293869018555,0.5406293869018555,0.0
2,24,32,60,72,0.5406293869018555,0.5406293869018555,0.0
2,24,32,72,84,0.5406293869018555,0.5406293869018555,0.0
2,24,32,84,96,0.5406293869018555,0.5406293869018555,0.0
2,32,40,0,12,0.5406293869018555,0.5406293869018555,0.0
2,32,40,12,24,0.5406293869018555,0.5406293869018555,0.0
2,32,40,24,36,0.5406293869018555,0.5406293869018555,0.0
2,32,40,36,48,0.5406293869018555,0.5406293869018555,0.0
2,32,40,48,60,0.5406293869018555,0.5406293869018555,0.0
2,32,40,60,72,0.5406293869018555,0.5406293869018555,0.0
2,32,40,72,84,0.5406293869018555,0.5406293869018555,0.0
2,32,40,84,96,0.5406293869018555,0.5406293869018555,0.0
2,40,48,0,12,0.5406293869018555,0.5406293869018555,0.0
2,40,48,12,24,0.5406293869018555,0.5406293869018555,0.0
2,40,48,24,36,0.5406293869018555,0.5406293869018555,0.0
2,40,48,36,48,0.5406293869018555,0.5406293869018555,0.0
2,40,48,48,60,0.5406293869018555,0.5406293869018555,0.0
2,40,48,60,72,0.5406293869018555,0.5406293869018555,0.0
2,40,48,72,84,0.5406293869018555,0.5406293869018555,0.0
2,40,48,84,96,0.5406293869018555,0.5406293869018555,0.0
2,48,56,0,12,0.5406293869018555,0.5406293869018555,0.0
2,48,56,12,24,0.5406293869018555,0.5406293869018555,0.0
2,48,56,24,36,0.5406293869018555,0.5406293869018555,0.0
2,48,56,36,48,0.5406293869018555,0.5406293869018555,0.0
2,48,56,48,60,0.5406293869018555,0.5406293869018555,0.0
2,48,56,60,72,0.5406293869018555,0.5406293869018555,0.0
2,48,56,72,84,0.5406293869018555,0.5406293869018555,0.0
2,48,56,84,96,0.5406293869018555,0.5406293869018555,0.0
2,56,64,0,12,0.5406293869018555,0.5406293869018555,0.0
2,56,64,12,24,0.5406293869018555,0.5406293869018555,0.0
2,56,64,24,36,0.5406293869018555,0.5406293869018555,0.0
2,56,64,36,48,0.5406293869018555,0.5406293869018555,0.0
2,56,64,48,60,0.5406293869018555,0.5406293869018555,0.0
2,56,64,60,72,0.5406293869018555,0.5406293869018555,0.0
2,56,64,72,84,0.5406293869018555,0.5406293869018555,0.0
2,56,64,84,96,0.5406293869018555,0.5406293869018555,0.0
3,0,8,0,12,0.5406293869018555,0.5406293869018555,0.0
3,0,8,12,24,0.5406293869018555,0.5406293869018555,0.0
3,0,8,24,36,0.5406293869018555,0.5406293869018555,0.0
3,0,8,36,48,0.5406293869018555,0.5406293869018555,0.0
3,0,8,48,60,0.5406293869018555,0.5406293869018555,0.0
3,0,8,60,72,0.5406293869018555,0.5406293869018555,0.0
3,0,8,72,84,0.5406293869018555,0.5406293869018555,0.0
3,0,8,84,96,0.5406293869018555,0.5406293869018555,0.0
3,8,16,0,12,0.5406293869018555,0.5406293869018555,0.0
3,8,16,12,24,0.5406293869018555,0.5406293869018555,0.0
3,8,16,24,36,0.5406293869018555,0.5406293869018555,0.0
3,8,16,36,48,0.5406293869018555,0.5406293869018555,0.0
3,8,16,48,60,0.5406293869018555,0.5406293869018555,0.0
3,8,16,60,72,0.5406293869018555,0.5406293869018555,0.0
3,8,16,72,84,0.5406293869018555,0.5406293869018555,0.0
3,8,16,84,96,0.5406293869018555,0.5406293869018555,0.0
3,16,24,0,12,0.5406293869018555,0.5406293869018555,0.0
3,16,24,12,24,0.5406293869018555,0.5406293869018555,0.0
3,16,24,24,36,0.5406293869018555,0.5406293869018555,0.0
3,16,24,36,48,0.5406293869018555,0.5406293869018555,0.0
3,16,24,48,60,0.5406293869018555,0.5406293869018555,0.0
3,16,24,60,72,0.5406293869018555,0.5406293869018555,0.0
3,16,24,72,84,0.5406293869018555,0.5406293869018555,0.0
3,16,24,84,96,0.5406293869018555,0.5406293869018555,0.0
3,24,32,0,12,0.5406293869018555,0.5406293869018555,0.0
3,24,32,12,24,0.5406293869018555,0.5406293869018555,0.0
3,24,32,24,36,0.5406293869018555,0.5406293869018555,0.0
3,24,32,36,48,0.5406293869018555,0.5406293869018555,0.0
3,24,32,48,60,0.5406293869018555,0.5406293869018555,0.0
3,24,32,60,72,0.5406293869018555,0.5406293869018555,0.0
3,24,32,72,84,0.5406293869018555,0.5406293869018555,0.0
3,24,32,84,96,0.5406293869018555,0.5406293869018555,0.0
3,32,40,0,12,0.5406293869018555,0.5406293869018555,0.0
3,32,40,12,24,0.5406293869018555,0.5406293869018555,0.0
3,32,40,24,36,0.5406293869018555,0.5406293869018555,0.0
3,32,40,36,48,0.5406293869018555,0.5406293869018555,0.0
3,32,40,48,60,0.5406293869018555,0.5406293869018555,0.0
3,32,40,60,72,0.5406293869018555,0.5406293869018555,0.0
3,32,40,72,84,0.5406293869018555,0.5406293869018555,0.0
3,32,40,84,96,0.5406293869018555,0.5406293869018555,0.0
3,40,48,0,12,0.5406293869018555,0.5406293869018555,0.0
3,40,48,12,24,0.5406293869018555,0.5406293869018555,0.0
