sample_id,method,true_species,correct,high_energy_overlap,low_energy_overlap,clip_border_overlap
000233_seg01_sperm_whale_test_0_000141,occlusion,Sperm Whale,True,0.30735930735930733,0.21150278293135436,0.17926716141001856
000233_seg01_sperm_whale_test_0_000141,lime,Sperm Whale,True,0.23117311731173118,0.27467746774677465,0.09338433843384339
000233_seg01_sperm_whale_test_0_000141,saliency,Sperm Whale,True,0.3117159583365012,0.21652854862008666,0.12491446818216377
000233_seg01_sperm_whale_test_0_000141,smoothgrad,Sperm Whale,True,0.2787287883298601,0.24047335516522775,0.12034831795177137
000233_seg01_sperm_whale_test_0_000141,input_x_gradient,Sperm Whale,True,0.3427469135802469,0.19891975308641976,0.12669753086419752
000233_seg01_sperm_whale_test_0_000141,guided_backprop,Sperm Whale,True,0.3025124900441677,0.22634132213453045,0.1159944971399609
000251_seg00_sperm_whale_test_0_000048,gradcam,Sperm Whale,True,0.42849378881987576,0.12608695652173912,0.0036490683229813666
000251_seg00_sperm_whale_test_0_000048,integrated_gradients,Sperm Whale,True,0.4496112094849488,0.05327584879513435,0.09923781661405805
000251_seg00_sperm_whale_test_0_000048,occlusion,Sperm Whale,True,0.008979653696055773,0.9651043837381124,0.11639449854127988
000251_seg00_sperm_whale_test_0_000048,lime,Sperm Whale,True,0.2750536316273368,0.40047502298498316,0.05225252834814588
000251_seg00_sperm_whale_test_0_000048,saliency,Sperm Whale,True,0.437995337995338,0.0926961926961927,0.08725718725718726
000251_seg00_sperm_whale_test_0_000048,smoothgrad,Sperm Whale,True,0.4680127041742287,0.05384150030248034,0.09233212341197822
000251_seg00_sperm_whale_test_0_000048,input_x_gradient,Sperm Whale,True,0.47273571041843915,0.07007502513728826,0.08678165364684044
000251_seg00_sperm_whale_test_0_000048,guided_backprop,Sperm Whale,True,0.4056347826086957,0.10796521739130435,0.09537391304347827
000251_seg01_sperm_whale_test_0_000048,gradcam,Sperm Whale,True,0.42849378881987576,0.12608695652173912,0.0036490683229813666
000251_seg01_sperm_whale_test_0_000048,integrated_gradients,Sperm Whale,True,0.4496112094849488,0.05327584879513435,0.09923781661405805
000251_seg01_sperm_whale_test_0_000048,occlusion,Sperm Whale,True,0.008979653696055773,0.9651043837381124,0.11639449854127988
000251_seg01_sperm_whale_test_0_000048,lime,Sperm Whale,True,0.2750536316273368,0.40047502298498316,0.05225252834814588
000251_seg01_sperm_whale_test_0_000048,saliency,Sperm Whale,True,0.437995337995338,0.0926961926961927,0.08725718725718726
000251_seg01_sperm_whale_test_0_000048,smoothgrad,Sperm Whale,True,0.4680127041742287,0.05384150030248034,0.09233212341197822
000251_seg01_sperm_whale_test_0_000048,input_x_gradient,Sperm Whale,True,0.47273571041843915,0.07007502513728826,0.08678165364684044
000251_seg01_sperm_whale_test_0_000048,guided_backprop,Sperm Whale,True,0.4056347826086957,0.10796521739130435,0.09537391304347827
000063_seg00_sperm_whale_train_1_000308,gradcam,Sperm Whale,False,1.0,0.555417549499525,0.19609848761598597
000063_seg00_sperm_whale_train_1_000308,integrated_gradients,Sperm Whale,False,1.0,0.857429718875502,0.0963855421686747
000063_seg00_sperm_whale_train_1_000308,occlusion,Sperm Whale,False,1.0,0.9111541285628463,0.06960483278819839
000063_seg00_sperm_whale_train_1_000308,lime,Sperm Whale,False,1.0,0.8292143401983219,0.07200610221205186
000063_seg00_sperm_whale_train_1_000308,saliency,Sperm Whale,False,1.0,0.5794852384557153,0.18728236184708555
000063_seg00_sperm_whale_train_1_000308,smoothgrad,Sperm Whale,False,1.0,0.42515379357484623,0.21508316245158351
000063_seg00_sperm_whale_train_1_000308,input_x_gradient,Sperm Whale,False,1.0,0.857429718875502,0.0963855421686747
000063_seg00_sperm_whale_train_1_000308,guided_backprop,Sperm Whale,False,1.0,0.5709969788519638,0.18808583159036332
000063_seg01_sperm_whale_train_1_000308,gradcam,Sperm Whale,False,1.0,0.555417549499525,0.19609848761598597
000063_seg01_sperm_whale_train_1_000308,integrated_gradients,Sperm Whale,False,1.0,0.857429718875502,0.0963855421686747
000063_seg01_sperm_whale_train_1_000308,occlusion,Sperm Whale,False,1.0,0.9111541285628463,0.06960483278819839
