sample_id,method,topk_percent,baseline,base_confidence,masked_confidence,confidence_drop,masked_confidence_std
000001_seg01_spinner_dolphin_train_1_000104,saliency,20,random,0.5457333922386169,0.5147510528564453,0.030982339382171653,0.01519530882012769
000001_seg01_spinner_dolphin_train_1_000104,saliency,30,xai,0.5457333922386169,0.35377204418182373,0.1919613480567932,
000001_seg01_spinner_dolphin_train_1_000104,saliency,30,random,0.5457333922386169,0.5114773482084274,0.03425604403018956,0.0163901381232237
000001_seg01_spinner_dolphin_train_1_000104,saliency,40,xai,0.5457333922386169,0.3583478033542633,0.18738558888435364,
000001_seg01_spinner_dolphin_train_1_000104,saliency,40,random,0.5457333922386169,0.4873486042022705,0.05838478803634645,0.020030868769984726
000001_seg01_spinner_dolphin_train_1_000104,smoothgrad,5,xai,0.5457333922386169,0.41462358832359314,0.1311098039150238,
000001_seg01_spinner_dolphin_train_1_000104,smoothgrad,5,random,0.5457333922386169,0.4586793601512909,0.08705403208732604,0.026837456700680443
000001_seg01_spinner_dolphin_train_1_000104,smoothgrad,10,xai,0.5457333922386169,0.30439144372940063,0.2413419485092163,
000001_seg01_spinner_dolphin_train_1_000104,smoothgrad,10,random,0.5457333922386169,0.5027814924716949,0.04295189976692204,0.014338022401404821
000001_seg01_spinner_dolphin_train_1_000104,smoothgrad,20,xai,0.5457333922386169,0.32121264934539795,0.224520742893219,
000001_seg01_spinner_dolphin_train_1_000104,smoothgrad,20,random,0.5457333922386169,0.5172024309635163,0.028530961275100686,0.01237530674380749
000001_seg01_spinner_dolphin_train_1_000104,smoothgrad,30,xai,0.5457333922386169,0.4725465178489685,0.07318687438964844,
000001_seg01_spinner_dolphin_train_1_000104,smoothgrad,30,random,0.5457333922386169,0.5033752530813217,0.04235813915729525,0.018852709568332376
000001_seg01_spinner_dolphin_train_1_000104,smoothgrad,40,xai,0.5457333922386169,0.542657196521759,0.00307619571685791,
000001_seg01_spinner_dolphin_train_1_000104,smoothgrad,40,random,0.5457333922386169,0.48317803144454957,0.06255536079406737,0.0246612677928174
000001_seg01_spinner_dolphin_train_1_000104,input_x_gradient,5,xai,0.5457333922386169,0.4428652822971344,0.10286810994148254,
000001_seg01_spinner_dolphin_train_1_000104,input_x_gradient,5,random,0.5457333922386169,0.4405152827501297,0.10521810948848725,0.033662873995225794
000001_seg01_spinner_dolphin_train_1_000104,input_x_gradient,10,xai,0.5457333922386169,0.38796448707580566,0.15776890516281128,
000001_seg01_spinner_dolphin_train_1_000104,input_x_gradient,10,random,0.5457333922386169,0.5066874891519546,0.03904590308666234,0.009447930960221356
000001_seg01_spinner_dolphin_train_1_000104,input_x_gradient,20,xai,0.5457333922386169,0.5331533551216125,0.012580037117004395,
000001_seg01_spinner_dolphin_train_1_000104,input_x_gradient,20,random,0.5457333922386169,0.5158428251743317,0.02989056706428528,0.015650340732438275
000001_seg01_spinner_dolphin_train_1_000104,input_x_gradient,30,xai,0.5457333922386169,0.5331533551216125,0.012580037117004395,
000001_seg01_spinner_dolphin_train_1_000104,input_x_gradient,30,random,0.5457333922386169,0.5022695094347001,0.04346388280391689,0.03044352523737204
000001_seg01_spinner_dolphin_train_1_000104,input_x_gradient,40,xai,0.5457333922386169,0.5331533551216125,0.012580037117004395,
000001_seg01_spinner_dolphin_train_1_000104,input_x_gradient,40,random,0.5457333922386169,0.4907219737768173,0.05501141846179963,0.030801843391286544
000001_seg01_spinner_dolphin_train_1_000104,guided_backprop,5,xai,0.5457333922386169,0.43894970417022705,0.10678368806838989,
